"table_name","constraint_name","constraint_type","definition"
"exercises","exercises_difficulty_check","c","CHECK (((difficulty)::text = ANY (ARRAY[('Easy'::character varying)::text, ('Medium'::character varying)::text, ('Hard'::character varying)::text])))"
"group_workout_exercises","group_workout_exercises_reps_check","c","CHECK ((reps >= 0))"
"group_workout_exercises","group_workout_exercises_sets_check","c","CHECK ((sets >= 0))"
"group_workout_exercises","group_workout_exercises_weight_check","c","CHECK ((weight >= (0)::numeric))"
"intake","intake_age_check","c","CHECK ((age >= 14))"
"group_workout_exercises","group_workout_exercises_group_workout_id_fkey","f","FOREIGN KEY (group_workout_id) REFERENCES group_workouts(group_workout_id) ON DELETE CASCADE"
"group_workout_logs","group_workout_logs_group_workout_id_fkey","f","FOREIGN KEY (group_workout_id) REFERENCES group_workouts(group_workout_id)"
"intake","intake_athleticism_score_check","c","CHECK (((athleticism_score >= 1) AND (athleticism_score <= 5)))"
"intake","intake_genetics_check","c","CHECK (((genetics >= 1) AND (genetics <= 5)))"
"intake","intake_movement_ankles_check","c","CHECK (((movement_ankles >= 1) AND (movement_ankles <= 5)))"
"intake","intake_movement_hips_check","c","CHECK (((movement_hips >= 1) AND (movement_hips <= 5)))"
"intake","intake_movement_shoulder_check","c","CHECK (((movement_shoulder >= 1) AND (movement_shoulder <= 5)))"
"intake","intake_movement_thoracic_check","c","CHECK (((movement_thoracic >= 1) AND (movement_thoracic <= 5)))"
"intake","intake_sex_check","c","CHECK (((sex >= 1) AND (sex <= 2)))"
"completed_user_workout","completed_user_workout_workout_id_fkey","f","FOREIGN KEY (workout_id) REFERENCES workouts(workout_id) ON DELETE CASCADE"
"exercise_progressions","exercise_progressions_exercise_id_fkey","f","FOREIGN KEY (exercise_id) REFERENCES exercises(exercise_id)"
"completed_group_workouts","fk_group_workout","f","FOREIGN KEY (group_workout_id) REFERENCES group_workouts(group_workout_id) ON DELETE CASCADE"
"intake","intake_strength_lower_check","c","CHECK (((strength_lower >= 1) AND (strength_lower <= 5)))"
"intake","intake_strength_upper_check","c","CHECK (((strength_upper >= 1) AND (strength_upper <= 5)))"
"intake","intake_weight_category_check","c","CHECK (((weight_category >= 1) AND (weight_category <= 5)))"
"lifestyle_data","lifestyle_data_calories_check","c","CHECK ((calories >= 0))"
"lifestyle_data","lifestyle_data_sleep_check","c","CHECK (((sleep >= 0) AND (sleep <= 24)))"
"lifestyle_data","lifestyle_data_soreness_check","c","CHECK (((soreness >= 0) AND (soreness <= 10)))"
"lifestyle_data","lifestyle_data_stress_check","c","CHECK (((stress >= 0) AND (stress <= 10)))"
"lifestyle_data","lifestyle_data_weight_check","c","CHECK ((weight >= (0)::numeric))"
"completed_group_workouts","fk_user","f","FOREIGN KEY (user_id) REFERENCES users(user_id) ON DELETE CASCADE"
"group_workout_exercises","group_workout_exercises_exercise_id_fkey","f","FOREIGN KEY (exercise_id) REFERENCES exercises(exercise_id) ON DELETE CASCADE"
"session_feedback","session_feedback_rating_check","c","CHECK (((rating >= 1) AND (rating <= 5)))"
"users","users_role_check","c","CHECK (((role)::text = ANY (ARRAY[('client'::character varying)::text, ('pt'::character varying)::text, ('masterPt'::character varying)::text, ('admin'::character varying)::text, ('dev'::character varying)::text, ('user'::character varying)::text])))"
"workout_exercises","workout_exercises_reps_check","c","CHECK ((reps >= 0))"
"workout_exercises","workout_exercises_sets_check","c","CHECK ((sets >= 0))"
"workout_exercises","workout_exercises_weight_check","c","CHECK ((weight >= (0)::numeric))"
"bench_press_norms","bench_press_norms_pkey","p","PRIMARY KEY (id)"
"bench_press_norms_women","bench_press_norms_women_pkey","p","PRIMARY KEY (id)"
"cable_row_norms_men","cable_row_norms_men_pkey","p","PRIMARY KEY (id)"
"completed_group_workouts","completed_group_workouts_pkey","p","PRIMARY KEY (completed_id)"
"completed_user_workout","completed_user_workout_pkey","p","PRIMARY KEY (id)"
"deadlift_norms_men","deadlift_norms_men_pkey","p","PRIMARY KEY (id)"
"deadlift_norms_women","deadlift_norms_women_pkey","p","PRIMARY KEY (id)"
"exercise_progressions","exercise_progressions_exercise_id_progression_level_key","u","UNIQUE (exercise_id, progression_level)"
"exercise_progressions","exercise_progressions_pkey","p","PRIMARY KEY (id)"
"exercises","exercises_pkey","p","PRIMARY KEY (exercise_id)"
"group_workout_exercises","group_workout_exercises_pkey","p","PRIMARY KEY (id)"
"group_workout_logs","group_workout_logs_pkey","p","PRIMARY KEY (id)"
"group_workout_participants","group_workout_participants_pkey","p","PRIMARY KEY (id)"
"group_workouts","group_workouts_pkey","p","PRIMARY KEY (group_workout_id)"
"intake","intake_pkey","p","PRIMARY KEY (user_id)"
"lifestyle_data","lifestyle_data_pkey","p","PRIMARY KEY (lifestyle_id)"
"session_feedback","session_feedback_pkey","p","PRIMARY KEY (id)"
"squat_norms_women","squat_norms_women_pkey","p","PRIMARY KEY (id)"
"user_workouts","user_workouts_pkey","p","PRIMARY KEY (id)"
"user_workouts","user_workouts_user_id_workout_id_key","u","UNIQUE (user_id, workout_id)"
"users","users_pkey","p","PRIMARY KEY (user_id)"
"users","users_username_key","u","UNIQUE (username)"
"vertical_press_norms_women","vertical_press_norms_women_pkey","p","PRIMARY KEY (id)"
"workout_exercises","workout_exercises_pkey","p","PRIMARY KEY (id)"
"workouts","workouts_pkey","p","PRIMARY KEY (workout_id)"
"completed_user_workout","completed_user_workout_user_id_fkey","f","FOREIGN KEY (user_id) REFERENCES users(user_id) ON DELETE CASCADE"
"group_workout_logs","group_workout_logs_trainer_id_fkey","f","FOREIGN KEY (trainer_id) REFERENCES users(user_id)"
"group_workout_participants","group_workout_participants_group_workout_id_fkey","f","FOREIGN KEY (group_workout_id) REFERENCES group_workouts(group_workout_id) ON DELETE CASCADE"
"group_workout_participants","group_workout_participants_user_id_fkey","f","FOREIGN KEY (user_id) REFERENCES users(user_id) ON DELETE CASCADE"
"group_workouts","group_workouts_parent_workout_id_fkey","f","FOREIGN KEY (parent_workout_id) REFERENCES group_workouts(group_workout_id) ON DELETE SET NULL"
"group_workouts","group_workouts_trainer_id_fkey","f","FOREIGN KEY (trainer_id) REFERENCES users(user_id) ON DELETE SET NULL"
"lifestyle_data","lifestyle_data_user_id_fkey","f","FOREIGN KEY (user_id) REFERENCES users(user_id) ON DELETE CASCADE"
"session_feedback","session_feedback_group_workout_id_fkey","f","FOREIGN KEY (group_workout_id) REFERENCES group_workouts(group_workout_id)"
"session_feedback","session_feedback_user_id_fkey","f","FOREIGN KEY (user_id) REFERENCES users(user_id)"
"user_workouts","user_workouts_assigned_by_fkey","f","FOREIGN KEY (assigned_by) REFERENCES users(user_id) ON DELETE SET NULL"
"user_workouts","user_workouts_group_workout_id_fkey","f","FOREIGN KEY (group_workout_id) REFERENCES group_workouts(group_workout_id)"
"user_workouts","user_workouts_user_id_fkey","f","FOREIGN KEY (user_id) REFERENCES users(user_id) ON DELETE CASCADE"
"user_workouts","user_workouts_workout_id_fkey","f","FOREIGN KEY (workout_id) REFERENCES workouts(workout_id) ON DELETE CASCADE"
"workout_exercises","workout_exercises_exercise_id_fkey","f","FOREIGN KEY (exercise_id) REFERENCES exercises(exercise_id) ON DELETE CASCADE"
"workout_exercises","workout_exercises_workout_id_fkey","f","FOREIGN KEY (workout_id) REFERENCES workouts(workout_id) ON DELETE CASCADE"
"workouts","workouts_group_workout_id_fkey","f","FOREIGN KEY (group_workout_id) REFERENCES group_workouts(group_workout_id)"
"workouts","workouts_user_id_fkey","f","FOREIGN KEY (user_id) REFERENCES users(user_id) ON DELETE CASCADE"
